id,case_number,date,block,ucr_code,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,historical_wards,zip_code,community_area,census_tract,ward,boundary,police_district,police_beat
20847,HW229606,04/12/2013 08:30:00 AM,067XX S KEDZIE AVE,110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,True,False,831,8,17.0,66.0,01A,1156212.0,1859615.0,2013,09/19/2023 03:41:47 PM,41.770565416,-87.702945412,"(41.770565416, -87.702945412)",6.0,21867.0,64.0,383.0,31.0,58.0,13.0,208.0
24886,JC564006,12/29/2019 11:25:00 AM,030XX W 39TH PL,110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,921,9,12.0,58.0,01A,1156684.0,1878275.0,2019,09/19/2023 03:41:47 PM,41.821761535,-87.700711857,"(41.821761535, -87.700711857)",49.0,22248.0,55.0,196.0,1.0,56.0,23.0,110.0
27750,JG401571,08/30/2023 12:58:00 PM,066XX S MARYLAND AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,321,3,20.0,42.0,01A,1183036.0,1861098.0,2023,09/19/2023 03:41:47 PM,41.77405332,-87.604573578,"(41.77405332, -87.604573578)",32.0,22260.0,9.0,347.0,33.0,60.0,18.0,206.0
27745,JG422138,09/11/2023 06:43:00 AM,086XX S YATES BLVD,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,True,False,412,4,8.0,46.0,01A,1193667.0,1848000.0,2023,09/19/2023 03:42:46 PM,41.737857562,-87.566031303,"(41.737857562, -87.566031303)",43.0,21202.0,42.0,507.0,37.0,25.0,19.0,238.0
22483,HZ265551,05/15/2016 02:46:00 PM,000XX N LOREL AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1522,15,37.0,25.0,01A,1140719.0,1899738.0,2016,12/24/2024 03:40:31 PM,41.880966677,-87.758754007,"(41.880966677, -87.758754007)",11.0,22216.0,26.0,674.0,23.0,32.0,25.0,97.0
25667,JD457527,12/13/2020 12:37:00 AM,015XX S SAWYER AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1022,10,24.0,29.0,01A,1154947.0,1892264.0,2020,09/20/2023 03:41:26 PM,41.860183952,-87.706709735,"(41.860183952, -87.706709735)",36.0,21569.0,30.0,34.0,14.0,57.0,21.0,152.0
27851,JG499426,11/10/2023 05:22:00 PM,083XX S PULASKI RD,110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,False,False,834,8,18.0,70.0,01A,1151183.0,1848997.0,2023,11/18/2023 03:40:25 PM,41.741527505,-87.721656705,"(41.741527505, -87.721656705)",6.0,4300.0,69.0,199.0,30.0,8.0,13.0,232.0
27743,JG421399,09/12/2023 02:51:00 PM,052XX S KILDARE AVE,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,True,815,8,23.0,57.0,01A,1148582.0,1869614.0,2023,10/12/2023 03:41:47 PM,41.798154328,-87.730657461,"(41.798154328, -87.730657461)",35.0,22248.0,54.0,637.0,6.0,56.0,13.0,105.0
28066,JH203109,04/11/2024 07:00:00 AM,008XX W 52ND ST,110,HOMICIDE,FIRST DEGREE MURDER,VACANT LOT,False,False,934,9,20.0,61.0,01A,1171381.0,1870368.0,2024,04/19/2024 03:40:58 PM,41.799754324,-87.647027112,"(41.799754324, -87.647027112)",12.0,14924.0,59.0,768.0,4.0,37.0,23.0,127.0
27744,JG421931,09/12/2023 11:34:00 PM,030XX N ELSTON AVE,110,HOMICIDE,FIRST DEGREE MURDER,HALLWAY,False,False,1411,14,35.0,21.0,01A,1157958.0,1920293.0,2023,09/20/2023 03:42:29 PM,41.937037115,-87.694891441,"(41.937037115, -87.694891441)",24.0,21538.0,22.0,467.0,20.0,39.0,7.0,174.0
28064,JH220955,04/11/2024 12:59:00 PM,081XX S LAFLIN ST,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,False,614,6,17.0,71.0,01A,1167754.0,1850668.0,2024,02/27/2025 03:40:19 PM,41.745773704,-87.660893178,"(41.745773704, -87.660893178)",18.0,21554.0,70.0,558.0,13.0,59.0,20.0,237.0
27667,JG364764,08/01/2023 01:26:00 PM,035XX S RHODES AVE,110,HOMICIDE,FIRST DEGREE MURDER,VESTIBULE,True,False,212,2,4.0,35.0,01A,1180172.0,1881335.0,2023,01/23/2024 03:40:54 PM,41.829651528,-87.614451899,"(41.829651528, -87.614451899)",1.0,4301.0,1.0,561.0,10.0,36.0,24.0,101.0
28530,JH545261,12/16/2024 06:01:00 PM,020XX W RANDOLPH ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1223,12,27.0,28.0,01A,1162669.0,1901220.0,2024,12/24/2024 03:41:09 PM,41.884601868,-87.678113304,"(41.884601868, -87.678113304)",48.0,21184.0,29.0,37.0,46.0,28.0,15.0,75.0
27944,JH115895,01/15/2024 12:58:00 AM,082XX S SOUTH SHORE DR,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,False,False,424,4,7.0,46.0,01A,1198580.0,1850996.0,2024,01/23/2024 03:41:40 PM,41.745957196,-87.547931545,"(41.745957196, -87.547931545)",43.0,21202.0,42.0,505.0,37.0,25.0,19.0,239.0
27945,JH116422,01/15/2024 04:30:00 PM,048XX S ASHLAND AVE,110,HOMICIDE,FIRST DEGREE MURDER,RETAIL STORE,True,True,931,9,20.0,61.0,01A,1166489.0,1872644.0,2024,01/23/2024 03:41:40 PM,41.806105713,-87.664902504,"(41.806105713, -87.664902504)",53.0,14924.0,59.0,740.0,4.0,37.0,23.0,118.0
27746,JG423232,09/13/2023 10:33:00 PM,106XX S GREEN ST,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,False,False,2233,22,21.0,73.0,01A,1172534.0,1834319.0,2023,09/21/2023 03:42:06 PM,41.70080589,-87.643858138,"(41.70080589, -87.643858138)",45.0,22212.0,72.0,595.0,22.0,13.0,9.0,258.0
27729,JG409658,09/04/2023 05:05:00 AM,029XX W WALNUT ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1222,12,27.0,27.0,01A,1156820.0,1901494.0,2023,12/20/2023 03:40:39 PM,41.885474288,-87.699584257,"(41.885474288, -87.699584257)",41.0,21184.0,28.0,50.0,46.0,28.0,15.0,77.0
28692,JJ251028,05/11/2025 11:04:00 PM,075XX S NORMAL AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,621,6,6.0,69.0,01A,1174170.0,1854897.0,2025,05/19/2025 03:43:15 PM,41.757238614,-87.637258382,"(41.757238614, -87.637258382)",17.0,21554.0,67.0,495.0,32.0,59.0,20.0,229.0
4354,HN754407,12/11/2007 09:00:00 PM,114XX S LOOMIS ST,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,True,False,2234,22,34.0,75.0,01A,1169045.0,1828989.0,2007,01/24/2024 03:41:43 PM,41.686255437,-87.656786895,"(41.686255437, -87.656786895)",45.0,22212.0,74.0,663.0,22.0,13.0,9.0,263.0
27748,JG424436,09/14/2023 08:11:00 PM,000XX E MONROE ST,110,HOMICIDE,FIRST DEGREE MURDER,HALLWAY,False,False,112,1,34.0,32.0,01A,1177024.0,1899949.0,2023,09/22/2023 03:42:13 PM,41.880801316,-87.625438715,"(41.880801316, -87.625438715)",22.0,14311.0,38.0,367.0,36.0,34.0,22.0,93.0
25300,JD294463,07/12/2020 01:12:00 AM,011XX N LAWNDALE AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1112,11,27.0,23.0,01A,1151501.0,1907379.0,2020,12/25/2024 03:40:12 PM,41.901729455,-87.718962001,"(41.901729455, -87.718962001)",41.0,4299.0,24.0,456.0,46.0,5.0,16.0,66.0
